Index,vector_list_2d_self_ss,vector_list_2d_min,vector_list_2d_mean
1,6.6687,3.517,5.4928
2,8.0682,8.206,8.5048
3,8.221,8.1605,8.4032
4,8.2488,8.1605,8.4032
5,8.2522,8.1605,8.4032
6,8.2522,8.1605,8.4032
7,8.2522,8.1605,8.4032
8,8.2522,8.1605,8.4032
9,8.2522,8.1605,8.4032
10,8.2522,8.1605,8.4032
11,8.2522,8.1605,8.4032
